class,band_1,band_2,d_total,n_shared_bins,n_objects_band_1,n_objects_band_2
KN,i,r,0.24952216575457514,42,10,10
KN,i,u,0.33832482233353967,37,10,10
KN,i,z,0.22818403170417512,39,10,10
KN,r,u,0.18680038879789804,40,10,10
KN,r,z,0.2647173658301584,41,10,10
KN,u,z,0.33673125135742255,37,10,10
SNIa-91bg,g,i,0.22461206056820096,43,13,13
SNIa-91bg,g,r,0.11561872537352726,44,13,13
SNIa-91bg,g,u,0.15671275624496755,41,13,13
SNIa-91bg,g,z,0.30013312112651563,43,13,13
SNIa-91bg,i,r,0.1343049470519098,48,13,13
SNIa-91bg,i,u,0.30151418984864603,45,13,13
SNIa-91bg,i,z,0.14834052510333187,46,13,13
SNIa-91bg,r,u,0.1993538346362204,45,13,13
SNIa-91bg,r,z,0.2069685328637003,47,13,13
SNIa-91bg,u,z,0.3555367388627423,43,13,13
EB,g,i,0.11289705691012306,41,24,24
EB,g,r,0.11264444608714277,40,24,24
EB,g,u,0.11625610053501642,38,24,24
EB,g,z,0.14374710900612153,41,24,24
EB,i,r,0.03801223899932498,40,24,24
EB,i,u,0.0715843861718587,38,24,24
EB,i,z,0.08424167613978634,41,24,24
EB,r,u,0.05834561098460505,39,24,24
EB,r,z,0.10216049496425662,41,24,24
EB,u,z,0.09949281786323524,39,24,24
RRL,g,i,0.2012364968595776,29,5,5
RRL,g,r,0.2211019053842177,29,5,5
RRL,g,u,0.36948363257743305,26,5,5
RRL,g,z,0.291466107482532,29,5,5
RRL,i,r,0.20002886145152138,29,5,5
RRL,i,u,0.2810962389361997,26,5,5
RRL,i,z,0.21441819414092156,29,5,5
RRL,r,u,0.31248191356748284,26,5,5
RRL,r,z,0.23719058085287636,29,5,5
RRL,u,z,0.20939064193727766,26,5,5
